Code Insee;Code Postal;Ville;Nom Ville long;;;;;Cedex
81001;81470;AGUTS;AGUTS;81;E;01.01.0001;25.10.199325.10.1993;
14003;14400;AGY;AGY;14;E;01.01.0001;25.10.199325.10.1993;
64008;64220;AHAXE ALCIETTE BASCASSAN;AHAXE ALCIETTE BASCASSAN;64;E;01.01.0001;25.10.199325.10.1993;
64009;64210;AHETZE;AHETZE;64;E;01.01.0001;25.10.199325.10.1993;
88002;88500;AHEVILLE;AHEVILLE;88;E;01.01.0001;25.10.199325.10.1993;
53001;53940;AHUILLE;AHUILLE;53;E;01.01.0001;25.10.199325.10.1993;
23001;23150;AHUN;AHUN;23;E;01.01.0001;25.10.199325.10.1993;
21003;21121;AHUY;AHUY;21;E;01.01.0001;25.10.199325.10.1993;
59003;59149;AIBES;AIBES;59;E;01.01.0001;25.10.199325.10.1993;
25008;25750;AIBRE;AIBRE;25;E;01.01.0001;25.10.199325.10.1993;
64010;64120;AICIRITS CAMOU SUHAST;AICIRITS CAMOU SUHAST;64;E;01.01.0001;25.10.199325.10.1993;
79003;79230;AIFFRES;AIFFRES;79;E;01.01.0001;25.10.199325.10.1993;
30001;30700;AIGALIERS;AIGALIERS;30;E;01.01.0001;25.10.199325.10.1993;
08003;08090;AIGLEMONT;AIGLEMONT;08;E;01.01.0001;25.10.199325.10.1993;
39006;39110;AIGLEPIERRE;AIGLEPIERRE;39;E;01.01.0001;25.10.199325.10.1993;
27004;27120;AIGLEVILLE;AIGLEVILLE;27;E;01.01.0001;25.10.199325.10.1993;
04001;04510;AIGLUN;AIGLUN;04;E;01.01.0001;25.10.199325.10.1993;
06001;06910;AIGLUN;AIGLUN;06;E;01.01.0001;25.10.199325.10.1993;
32001;32290;AIGNAN;AIGNAN;32;E;01.01.0001;25.10.199325.10.1993;
21004;21510;AIGNAY LE DUC;AIGNAY LE DUC;21;E;01.01.0001;25.10.199325.10.1993;
34006;34210;AIGNE;AIGNE;34;E;01.01.0001;25.10.199325.10.1993;
72001;72650;AIGNE;AIGNE;72;E;01.01.0001;25.10.199325.10.1993;
14004;14710;AIGNERVILLE;AIGNERVILLE;14;E;01.01.0001;25.10.199325.10.1993;
31002;31550;AIGNES;AIGNES;31;E;01.01.0001;25.10.199325.10.1993;
16004;16190;AIGNES ET PUYPEROUX;AIGNES ET PUYPEROUX;16;E;01.01.0001;25.10.199325.10.1993;
80008;80210;AIGNEVILLE;AIGNEVILLE;80;E;01.01.0001;25.10.199325.10.1993;
51003;51150;AIGNY;AIGNY;51;E;01.01.0001;25.10.199325.10.1993;
